pregunta;descripcionpregunta;valorpregunta;descripcionvalorpregunta
P_1;Remplazo;1;Si
P_1;Remplazo;2;No
P_2;Causa de Remplazo;-88;No aplica
P_2;Causa de Remplazo;1;Dirección inexistente
P_2;Causa de Remplazo;2;Vivienda desocupada
P_2;Causa de Remplazo;3;Personas ausentes
P_2;Causa de Remplazo;4;No hay informante calificado
P_2;Causa de Remplazo;5;Rechazo
P_2;Causa de Remplazo;6;No es vivienda
P_2;Causa de Remplazo;7;La Dirección no corresponde
P_2;Causa de Remplazo;8;No corresponde al Estrato
P_2;Causa de Remplazo;9;Problemas de orden público
P_2;Causa de Remplazo;10;Vivienda demolida
P_3;Fecha visita;NULL;NULL
P_4;Código de municipio;05001;MEDELLÍN
P_5;Zona;1;Cabecera -Urbana
P_5;Zona;2;Centro poblado- Rural
P_5;Zona;3;Rural disperso- Rural
P_6;Comunas de Medellín;01;1. Popular
P_6;Comunas de Medellín;02;2. Santa Cruz
P_6;Comunas de Medellín;03;3. Manrique
P_6;Comunas de Medellín;04;4. Aranjuez
P_6;Comunas de Medellín;05;5. Castilla
P_6;Comunas de Medellín;06;6. Doce de Octubre
P_6;Comunas de Medellín;07;7. Robledo
P_6;Comunas de Medellín;08;8. Villa Hermosa
P_6;Comunas de Medellín;09;9. Buenos Aires
P_6;Comunas de Medellín;10;10. La Candelaria
P_6;Comunas de Medellín;11;11. Laureles Estadio
P_6;Comunas de Medellín;12;12. La America
P_6;Comunas de Medellín;13;13. San Javier
P_6;Comunas de Medellín;14;14. El Poblado
P_6;Comunas de Medellín;15;15. Guayabal
P_6;Comunas de Medellín;16;16. Belen
P_6;Comunas de Medellín;50;50. Palmitas
P_6;Comunas de Medellín;60;60. San Cristobal
P_6;Comunas de Medellín;70;70. Altavista
P_6;Comunas de Medellín;80;80. San Antonio de Prado
P_6;Comunas de Medellín;90;90. Santa Elena
P_7;Código del barrio o vereda;-99;No responde
P_7;Código del barrio o vereda;-98;No sabe
P_7;Código del barrio o vereda;-88;No aplica
P_7;Código del barrio o vereda;0101;SANTO DOMINGO SABIO Nº 1
P_7;Código del barrio o vereda;0102;SANTO DOMINGO SABIO Nº 2
P_7;Código del barrio o vereda;0103;POPULAR
P_7;Código del barrio o vereda;0104;GRANIZAL
P_7;Código del barrio o vereda;0105;MOSCÚ Nº 2
P_7;Código del barrio o vereda;0106;VILLA GUADALUPE
P_7;Código del barrio o vereda;0107;SAN PABLO
P_7;Código del barrio o vereda;0108;EL COMPROMISO
P_7;Código del barrio o vereda;0109;ALDEA PABLO VI
P_7;Código del barrio o vereda;0110;LA ESPERANZA Nº 2
P_7;Código del barrio o vereda;0111;LA AVANZADA
P_7;Código del barrio o vereda;0112;CARPINELO
P_7;Código del barrio o vereda;0201;LA ISLA
P_7;Código del barrio o vereda;0202;EL PLAYÓN DE LOS COMUNEROS
P_7;Código del barrio o vereda;0203;PABLO VI
P_7;Código del barrio o vereda;0204;LA FRONTERA
P_7;Código del barrio o vereda;0205;LA FRANCIA
P_7;Código del barrio o vereda;0206;ANDALUCÍA
P_7;Código del barrio o vereda;0207;VILLA DEL SOCORRO
P_7;Código del barrio o vereda;0208;VILLA NIZA
P_7;Código del barrio o vereda;0209;MOSCÚ Nº 1
P_7;Código del barrio o vereda;0210;SANTA CRUZ
P_7;Código del barrio o vereda;0211;LA ROSA
P_7;Código del barrio o vereda;0301;LA SALLE
P_7;Código del barrio o vereda;0302;LAS GRANJAS
P_7;Código del barrio o vereda;0303;CAMPO VALDÉS Nº 2
P_7;Código del barrio o vereda;0304;SANTA INÉS
P_7;Código del barrio o vereda;0305;EL RAIZAL
P_7;Código del barrio o vereda;0306;EL POMAR
P_7;Código del barrio o vereda;0307;MANRIQUE CENTRAL Nº 2
P_7;Código del barrio o vereda;0308;MANRIQUE ORIENTAL
P_7;Código del barrio o vereda;0309;VERSALLES Nº 1
P_7;Código del barrio o vereda;0310;VERSALLES Nº 2
P_7;Código del barrio o vereda;0311;LA CRUZ
P_7;Código del barrio o vereda;0312;ORIENTE
P_7;Código del barrio o vereda;0313;MARÍA CANO-CARAMBOLAS
P_7;Código del barrio o vereda;0314;SAN JOSÉ LA CIMA Nº 1
P_7;Código del barrio o vereda;0315;SAN JOSÉ LA CIMA Nº 2
P_7;Código del barrio o vereda;0401;BERLÍN
P_7;Código del barrio o vereda;0402;SAN ISIDRO
P_7;Código del barrio o vereda;0403;PALERMO
P_7;Código del barrio o vereda;0404;BERMEJAL-LOS ÁLAMOS
P_7;Código del barrio o vereda;0405;MORAVIA
P_7;Código del barrio o vereda;0407;SEVILLA
P_7;Código del barrio o vereda;0408;SAN PEDRO
P_7;Código del barrio o vereda;0409;MANRIQUE CENTRAL Nº 1
P_7;Código del barrio o vereda;0410;CAMPO VALDÉS Nº 1
P_7;Código del barrio o vereda;0411;LAS ESMERALDAS
P_7;Código del barrio o vereda;0412;LA PIÑUELA
P_7;Código del barrio o vereda;0413;ARANJUEZ
P_7;Código del barrio o vereda;0414;BRASILIA
P_7;Código del barrio o vereda;0415;MIRANDA
P_7;Código del barrio o vereda;0501;TOSCANA
P_7;Código del barrio o vereda;0502;LAS BRISAS
P_7;Código del barrio o vereda;0503;FLORENCIA
P_7;Código del barrio o vereda;0504;TEJELO
P_7;Código del barrio o vereda;0505;BOYACÁ
P_7;Código del barrio o vereda;0507;HÉCTOR ABAD GÓMEZ
P_7;Código del barrio o vereda;0508;BELALCÁZAR
P_7;Código del barrio o vereda;0509;GIRARDOT
P_7;Código del barrio o vereda;0510;TRICENTENARIO
P_7;Código del barrio o vereda;0511;CASTILLA
P_7;Código del barrio o vereda;0513;FRANCISCO ANTONIO ZEA
P_7;Código del barrio o vereda;0514;ALFONSO LÓPEZ
P_7;Código del barrio o vereda;0517;CARIBE
P_7;Código del barrio o vereda;0519;EL PROGRESO
P_7;Código del barrio o vereda;0601;SANTANDER
P_7;Código del barrio o vereda;0602;DOCE DE OCTUBRE Nº 1
P_7;Código del barrio o vereda;0603;DOCE DE OCTUBRE Nº 2
P_7;Código del barrio o vereda;0604;PEDREGAL
P_7;Código del barrio o vereda;0605;LA ESPERANZA
P_7;Código del barrio o vereda;0606;SAN MARTÍN DE PORRES
P_7;Código del barrio o vereda;0607;KENNEDY
P_7;Código del barrio o vereda;0608;PICACHO
P_7;Código del barrio o vereda;0609;PICACHITO
P_7;Código del barrio o vereda;0610;MIRADOR DEL DOCE
P_7;Código del barrio o vereda;0611;PROGRESO  Nº 2
